groupe;Gmax;t50;AUC
NP;96.44;52.45;10662.38
HP;91.59;72.09;9088.72
V1;90.79;56.28;9961.44
V2;87.13;45.78;9903.28
V3;89.97;45.77;10413.29
V4;93.31;38.72;11551.84
