groupe;Gmax;t50;AUC
NP;96.09;35.71;12285.95
HP;97.64;42.1;11623.03
V1;97.18;37.89;12496.54
V2;77.38;35.72;9753.11
V3;99.42;31.5;13323.69
V4;93.17;33.03;12054.77
