groupe;Gmax;t50;AUC
NP;100.53;47.1;11845.48
HP;97.41;60.33;10241.61
V1;99.84;43.18;11942.65
V2;99.6;38.21;12574.34
V3;99.32;38.02;12697.45
V4;100.35;33.82;13225.46
