groupe;Gmax;t50;AUC
NP;94.4;53.75;10603.79
HP;92.29;62.51;9459.17
V1;97.04;44.34;11573.61
V2;96.74;41.34;11871.99
V3;99.98;43.03;12112.96
V4;99.62;36.19;12923.26
