groupe;Gmax;t50;AUC
NP;97.49;40.4;12122.3
HP;98.38;46.97;11523.39
V1;96.84;39.82;12352.48
V2;98.47;32.44;13155.58
V3;97.58;36.84;12840.6
V4;95.21;29.29;12875.68
