echantillon;groupe;total;0;20;24;44;49;68;92;168
FNP-1;NP;25;0;0;0;3;10;22;24;24
FNP-2;NP;22;0;0;0;5;7;18;19;21
FNP-3;NP;24;0;0;0;5;9;21;22;23
FNP-4;NP;33;0;0;0;7;13;24;29;31
FHP-1;HP;29;0;0;0;9;17;26;26;28
FHP-2;HP;23;0;0;0;10;15;20;21;22
FHP-3;HP;21;0;0;0;13;15;20;21;21
FHP-4;HP;24;0;0;0;9;12;20;22;23
FV1-1;V1;21;0;0;0;12;13;19;19;21
FV1-2;V1;21;0;0;0;9;14;19;20;21
FV1-3;V1;24;0;0;0;15;20;23;24;24
FV1-4;V1;21;0;0;0;7;11;17;19;21
FV2-1;V2;25;0;0;0;12;15;21;23;25
FV2-2;V2;21;0;0;0;14;15;18;18;18
FV2-3;V2;16;0;0;0;11;13;15;15;16
FV2-4;V2;23;0;0;0;17;18;21;21;22
FV3-1;V3;22;0;0;0;13;16;20;21;21
FV3-2;V3;21;0;0;0;12;14;16;17;19
FV3-3;V3;19;0;0;0;11;14;18;18;19
FV3-4;V3;18;0;0;0;14;17;18;18;18
FV4-1;V4;23;0;0;2;19;21;21;22;23
FV4-2;V4;22;0;0;1;17;19;19;21;21
FV4-3;V4;25;0;0;1;14;18;22;23;25
FV4-4;V4;20;0;0;0;17;18;18;20;20
